year,Base case cost,Modeled residential ashp
2017,1572389.22438,3803510.05815
2018,1701590.48329,3624355.33298
2019,1873259.18991,3424762.17034
2020,1978933.90122,3285183.08887
2021,2050740.19335,3152624.03234
2022,2108694.96448,3028130.47796
2023,2155503.1462,2909611.88039
2024,2196358.87089,2797468.53434
2025,2242011.93045,2688208.53799
2026,2297056.18703,2581635.13251
2027,2359048.80176,2489415.38264
2028,2401764.60595,2389986.0374
2029,2455311.20222,2294494.36972
2030,2499181.35082,2205996.94931
2031,2558498.55964,2116485.55074
