year,Base case diesel consumed,Modeled diesel efficiency
2019,3172911.91252,2884465.37502
2020,3177191.96448,2888356.33135
2021,3180238.78113,2891126.16466
2022,3182922.88151,2893566.25592
2023,3185316.80888,2895742.55352
2024,3187855.82275,2898050.74796
2025,3190467.37988,2900424.8908
2026,3193151.48026,2902864.98205
2027,3197141.3592,2906492.14473
2028,3199607.82982,2908734.39075
2029,3202437.01671,2911306.37883
2030,3205338.74685,2913944.31532
2031,3208167.93374,2916516.3034
2032,3210852.03412,2918956.39466
2033,3213173.41824,2921066.74385
2034,3215422.2591,2923111.14463
2035,3218396.53249,2925815.02954
2036,3221515.8924,2928650.81127
2037,3224925.42531,2931750.38665
2038,3228770.21775,2935245.6525
