year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation wind [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation biomass [kWh/year],generation solar [kWh/year],generation wind [kWh/year],generation natural gas [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,0,0,3422.16,731542.0,0.0,0.0,0.0,0.0,0.0,731542.0
2004,,0,0,3422.16,671561.0,0.0,0.0,0.0,0.0,0.0,671561.0
2005,,0,0,3422.16,657112.0,0.0,0.0,0.0,0.0,0.0,657112.0
2006,,0,0,3422.16,636139.0,0.0,0.0,0.0,0.0,0.0,636139.0
2007,,0,0,3422.16,610499.0,0.0,0.0,0.0,0.0,0.0,610499.0
2008,,0,0,3422.16,646697.0,0.0,0.0,0.0,0.0,0.0,646697.0
2009,,0,0,3422.16,614894.0,0.0,0.0,0.0,0.0,0.0,614894.0
2010,,0,0,3422.16,609869.0,0.0,0.0,0.0,0.0,0.0,609869.0
2011,,0,0,3422.16,574790.0,0.0,0.0,0.0,0.0,0.0,574790.0
2012,,0,0,3422.16,584001.0,0.0,0.0,0.0,0.0,0.0,584001.0
2013,,0,0,3422.16,574741.0,0.0,0.0,0.0,0.0,0.0,574741.0
2014,start of forecast,0,0,3422.16,581000.0,0.0,5347.0,0.0,0.0,0.0,575653.0
2015,,0,0,3422.16,580000.0,0.0,5347.0,0.0,0.0,0.0,574653.0
2016,,0,0,3422.16,580000.0,0.0,5347.0,0.0,0.0,0.0,574653.0
2017,,0,0,3422.16,579000.0,0.0,5347.0,0.0,0.0,0.0,573653.0
2018,,0,0,3422.16,578000.0,0.0,5347.0,0.0,0.0,0.0,572653.0
2019,,0,0,3422.16,577000.0,0.0,5347.0,0.0,0.0,0.0,571653.0
2020,,0,0,3422.16,577000.0,0.0,5347.0,0.0,0.0,0.0,571653.0
2021,,0,0,3422.16,576000.0,0.0,5347.0,0.0,0.0,0.0,570653.0
2022,,0,0,3422.16,575000.0,0.0,5347.0,0.0,0.0,0.0,569653.0
2023,,0,0,3422.16,574000.0,0.0,5347.0,0.0,0.0,0.0,568653.0
2024,,0,0,3422.16,572000.0,0.0,5347.0,0.0,0.0,0.0,566653.0
2025,,0,0,3422.16,571000.0,0.0,5347.0,0.0,0.0,0.0,565653.0
2026,,0,0,3422.16,570000.0,0.0,5347.0,0.0,0.0,0.0,564653.0
2027,,0,0,3422.16,569000.0,0.0,5347.0,0.0,0.0,0.0,563653.0
2028,,0,0,3422.16,568000.0,0.0,5347.0,0.0,0.0,0.0,562653.0
2029,,0,0,3422.16,566000.0,0.0,5347.0,0.0,0.0,0.0,560653.0
2030,,0,0,3422.16,565000.0,0.0,5347.0,0.0,0.0,0.0,559653.0
2031,,0,0,3422.16,564000.0,0.0,5347.0,0.0,0.0,0.0,558653.0
2032,,0,0,3422.16,563000.0,0.0,5347.0,0.0,0.0,0.0,557653.0
2033,,0,0,3422.16,561000.0,0.0,5347.0,0.0,0.0,0.0,555653.0
2034,,0,0,3422.16,560000.0,0.0,5347.0,0.0,0.0,0.0,554653.0
2035,,0,0,3422.16,559000.0,0.0,5347.0,0.0,0.0,0.0,553653.0
2036,,0,0,3422.16,557000.0,0.0,5347.0,0.0,0.0,0.0,551653.0
2037,,0,0,3422.16,556000.0,0.0,5347.0,0.0,0.0,0.0,550653.0
2038,,0,0,3422.16,555000.0,0.0,5347.0,0.0,0.0,0.0,549653.0
2039,,0,0,3422.16,554000.0,0.0,5347.0,0.0,0.0,0.0,548653.0
2040,,0,0,3422.16,552000.0,0.0,5347.0,0.0,0.0,0.0,546653.0
