year,Base case diesel consumed,Modeled residential ashp
2017,17099.5635202,-97734.9739841
2018,17469.6118082,-97364.9256961
2019,17839.6600962,-96994.8774081
2020,18209.7083842,-96624.8291201
2021,18579.7566722,-96254.7808321
2022,18949.8049602,-95884.7325441
2023,19134.8291042,-95699.7084001
2024,19504.8773922,-95329.6601121
2025,19874.9256802,-94959.6118241
2026,20244.9739682,-94589.5635361
2027,20615.0222561,-94219.5152481
2028,20985.0705441,-93849.4669601
2029,21355.1188321,-93479.4186721
2030,21910.1912641,-92924.3462401
2031,22280.2395521,-92554.2979521
