year,Base case cost,Modeled residential energy efficiency
2017,884375.047915,831615.624856
2018,938034.563406,874431.307684
2019,1020656.18978,943630.624168
2020,1054780.17128,970139.898253
2021,1090808.77303,1000286.18324
2022,1108068.33538,1012675.61019
2023,1133724.25512,1034232.67852
2024,1156457.60527,1053397.59297
2025,1167692.41789,1060874.26479
2026,1197258.7652,1086012.31426
2027,1208619.3052,1093711.10128
2028,1219979.84519,1101456.39446
2029,1232963.31948,1110630.39751
2030,1227076.42743,1101697.30843
2031,1241521.18651,1112180.61959
