year,Base case diesel consumed,Modeled non-residential ashp
2017,16057.80615,-18850.4681241
2018,16057.80615,-18850.4681241
2019,16057.80615,-18850.4681241
2020,16057.80615,-18850.4681241
2021,16057.80615,-18850.4681241
2022,16057.80615,-18850.4681241
2023,16057.80615,-18850.4681241
2024,16057.80615,-18850.4681241
2025,16057.80615,-18850.4681241
2026,16057.80615,-18850.4681241
2027,16057.80615,-18850.4681241
2028,16057.80615,-18850.4681241
2029,16057.80615,-18850.4681241
2030,16057.80615,-18850.4681241
2031,16057.80615,-18850.4681241
