year,Base case cost,Modeled residential energy efficiency
2017,927645.321145,889259.848748
2018,985776.314182,942411.8245
2019,1052692.66261,1002741.0827
2020,1093099.17901,1039494.03974
2021,1105057.87157,1048948.0515
2022,1126061.04931,1067784.05358
2023,1124680.28768,1064897.73864
2024,1137124.14842,1075848.52142
2025,1135269.24907,1072512.72707
2026,1151650.33552,1087100.39219
2027,1151289.91132,1085120.37711
2028,1163417.68025,1095802.11332
2029,1162530.43636,1093317.70519
2030,1157337.19299,1086862.54199
2031,1157707.35539,1085494.71594
