year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,443296.51,6464.23,484775.71,204661.57
2018,443446.61,6477.33,484775.71,204661.57
2019,443596.72,6489.45,484775.71,204661.57
2020,443746.83,6500.72,484775.71,205960.52
2021,443896.94,6514.04,484775.71,205960.52
2022,443896.94,6519.71,484775.71,205960.52
2023,443896.94,6515.74,484775.71,205960.52
2024,443896.94,6514.8,484775.71,205960.52
2025,443896.94,6514.22,484775.71,205960.52
2026,443971.99,6525.79,484775.71,205960.52
2027,444047.04,6532.82,484775.71,207259.48
2028,444272.21,6547.7,484775.71,207259.48
2029,444347.26,6554.59,484775.71,207259.48
2030,444347.26,6558.66,484775.71,207259.48
2031,444422.31,6563.94,484775.71,208558.43
