year,Base case cost,Modeled non-residential ashp
2017,66498.4445456,163866.091925
2018,70410.466,164401.934575
2019,75941.2549528,166097.443352
2020,78369.4062004,165715.723334
2021,80123.0709903,164919.70655
2022,81472.0439056,163893.167338
2023,82416.3249463,162635.008334
2024,83225.7086955,161329.055703
2025,84035.0924447,160066.711995
2026,85114.270777,159031.85328
2027,86058.5518177,157946.134193
2028,86867.9355669,156808.579929
2029,87812.2166076,155803.136909
2030,88486.7030653,154651.528195
2031,89565.8813975,153815.091402
