year,Base case cost,Modeled non-residential energy efficiency
2017,1193151.15362,1166105.40222
2018,1238981.72684,1208808.81696
2019,1299696.8104,1266423.40959
2020,1328193.78839,1291975.51369
2021,1348017.43747,1308944.68916
2022,1362883.54147,1321035.57254
2023,1372797.44415,1328250.57925
2024,1380240.29307,1333061.94352
2025,1390153.00824,1340399.85518
2026,1402540.33969,1350266.39594
2027,1412456.02363,1357724.55401
2028,1421125.19626,1363998.40727
2029,1432278.48521,1372803.818
2030,1438481.35411,1376724.86034
2031,1450869.87306,1386870.55078
