year,Base case cost,Modeled solar power (pv)
2016,153449.805473,158195.81814
2017,188524.046724,192662.848301
2018,214829.727662,218491.176695
2019,251657.680976,254709.096855
2020,270071.657632,272769.768779
2021,282347.64207,284780.595595
2022,291116.202383,293335.529459
2023,298131.050633,300164.228535
2024,303392.186821,305266.053188
2025,309530.17904,311237.219288
2026,317421.883321,318943.622609
2027,324436.731571,325788.336837
2028,329697.867759,330905.131994
2029,336712.716009,337757.284734
2030,341096.996166,342014.958098
2031,349865.556478,350606.450446
2032,357757.26076,358335.602993
2033,365648.965041,366068.399394
2034,374417.525354,374671.166267
2035,380555.517573,380678.153671
