year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58', 130.03' (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49', 133.01' near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2021,1616113.67012,33395024.2254,2109709.49737,1020351.84802,1709966.46235,8625144.78404,14944131.3575,4957938.93047,1853190.71165,1979411.43247,6196990.36256,,6832488.93769,10125627.4405,11064669.8853,1814493.183,4462144.57056,9041113.77026,1848314.58098,1919250.6203,4385566.45764,3295366.65247,4604591.43628,1897079.8804,11386375.3964,2496515.20252,3585924.49274,46828916.0038,22241373.8292,2039981.42673,32820496.2978,39390961.521,3713015.67306,4681074.10883,2806217.79068,1660720.58149,9828080.56891,1309604.5318,6481223.83621,6481352.17293
2022,1674177.63432,32673231.9751,2152636.9635,1047619.49869,1757715.10577,8437795.44748,14620441.8365,4853020.86575,1796653.57959,2021660.71191,6065258.48974,,6686581.0544,9815767.98279,10823930.0702,1827423.18706,4329256.65397,8848814.54758,1884772.307,1931521.11406,4291304.0266,3224560.09287,4474573.02768,1911433.64582,11144399.1003,2516258.82176,3508851.94745,45829105.9002,21761283.6765,2088697.68662,32127736.1945,38550276.5447,3632751.99907,4565666.85824,2743171.47563,1706513.98041,9614081.98371,1267660.90711,6342757.36538,6340139.50262
2023,1708048.2801,31986260.9839,2173120.90552,1061999.91146,1783637.0076,8259347.34299,14312265.8629,4752281.53921,1746026.93274,2042282.72912,5939023.2548,,6546959.08748,9540505.55635,10594846.2367,1827542.28703,4210378.3632,8664774.45483,1901821.25479,1930653.90959,4201074.81704,3156663.76797,4357122.60267,1912187.33243,10912888.495,2518026.41523,3434992.83401,44875006.6618,21304062.9008,2113724.92488,31464743.3582,37747882.7484,3555954.9205,4458555.09712,2683271.32078,1731253.74817,9410429.26416,1230292.11581,6210246.06464,6205616.44483
2024,1741918.92588,31314768.3417,2193870.09503,1076469.12946,1809671.33197,8084924.79421,14011037.1378,4653843.49384,1696427.41961,2063138.93043,5815662.88912,,6410509.85063,9270744.20202,10370922.4605,1828093.47045,4093907.47502,8484917.33796,1919115.71716,1930253.80448,4112896.93464,3090315.2749,4242093.89964,1913384.50734,10686637.216,2520361.48505,3362815.86935,43942494.5161,20857154.3024,2138949.51383,30816818.9444,36963648.7575,3480902.64748,4353759.38642,2624717.0616,1756108.35836,9211364.32083,1193674.2741,6080746.27368,6074128.7499
2025,1775789.57166,30658391.3142,2214878.31596,1091025.07155,1835815.44426,7914433.46245,13716592.853,4557652.79924,1647830.96934,2084223.82773,5695110.02029,,6277158.99108,9006355.00248,10152037.8157,1829066.61147,3979787.57209,8309145.16915,1936649.94048,1930309.85227,4026722.30666,3025478.3403,4129430.16567,1915014.77743,10465522.0113,2523250.73244,3292281.63242,43031063.5706,20420316.216,2164366.82855,30183609.8253,36197148.9977,3407554.29058,4251225.44962,2567477.15709,1781075.11964,9016779.63943,1157789.78353,5954187.41794,5945605.28426
2026,1819337.54481,30009187.1059,2245225.55311,1110856.97519,1870843.51658,7745869.59724,13425414.1939,4462927.89985,1598270.59578,2114278.8884,5576277.74791,,6145619.08425,8735626.49171,9935525.3807,1835753.16483,3863345.78251,8135771.91553,1962282.3802,1936257.76653,3941730.92327,2961587.43992,4015040.72326,1922689.67775,10247390.4643,2534104.01926,3222755.26245,42130777.5294,19988388.7632,2199528.79615,29559036.2776,35440089.6644,3335197.95392,4148530.74213,2510813.62109,1814619.89575,8824311.0351,1121099.11415,5829352.02506,5818544.02294
2027,1858046.85427,29378192.5314,2271276.79393,1128175.95033,1901587.91817,7582010.63869,13142385.5826,4370710.68262,1550638.55588,2140178.63684,5460633.46277,,6017641.4232,8475814.04459,9725093.04412,1840191.45609,3751454.95232,7967089.51757,1984211.43635,1939917.49974,3859036.52127,2899403.12245,3904924.31515,1927966.76692,10035173.0788,2541774.38575,3155093.69924,41255317.1883,19568527.2235,2230096.33929,28951363.7441,34703882.0898,3264802.57833,4049177.79727,2455757.14177,1844037.38133,8637244.73049,1085868.99387,5707895.59841,5695025.94614
2028,1891917.50005,28765069.7063,2293026.2482,1142980.05839,1928046.19493,7422768.71097,12867355.3642,4280950.91175,1504912.42785,2161917.96092,5348114.40795,,5893156.74884,8226797.57551,9520628.16451,1842372.0531,3644062.52913,7803006.66305,2002431.74947,1941278.85535,3778594.32124,2838891.59952,3799028.07639,1930836.36381,9828755.0465,2546249.44419,3089260.22234,40404211.312,19160506.4873,2256065.14993,28360263.289,33988129.8546,3196330.07559,3953116.05682,2402278.33891,1869325.06944,8455480.57677,1052083.02985,5589752.39824,5574984.79343
2029,1935465.4732,28158105.9472,2324097.34632,1163054.31171,1963381.06861,7265190.59635,12595135.7622,4192506.21386,1458155.10447,2192612.1105,5237127.66025,,5770275.22951,7971081.50294,9318197.5372,1850237.76317,3534190.54666,7641048.76003,2028734.19903,1948501.48479,3699201.01429,2779224.73569,3691247.51872,1939721.5447,9624976.21275,2558651.37524,3024324.4402,39562836.4951,18756720.9895,2291765.68798,27776811.5,33280628.6709,3128735.31721,3856741.85615,2349287.75523,1903183.25078,8275532.02409,1017441.70363,5473135.42236,5456207.0442
2030,1959658.79162,27579744.6037,2337226.39899,1172823.0514,1981259.96307,7114927.33062,12335661.5645,4107515.33191,1416175.6341,2206015.72817,5130676.67118,,5652575.23602,7743307.97676,9125340.19389,1847875.5583,3435642.20085,7485899.60526,2039521.44953,1945236.45029,3623133.07261,2721960.6003,3593637.97352,1937748.0201,9429823.211,2556699.81428,2962040.41269,38759069.9646,18371727.6085,2308524.51276,27217899.1918,32604634.9735,3063997.86172,3767115.58371,2298878.91553,1920204.05779,8104081.10265,986496.408433,5361427.61123,5342927.16238
