year,Base case cost,Modeled non-residential ashp
2017,186238.799254,564808.62675
2018,197265.571714,570240.860818
2019,212082.797207,579659.296401
2020,219319.116633,581507.899994
2021,224143.329585,581034.877683
2022,227589.195978,579287.466917
2023,230345.889093,576962.889357
2024,232413.40893,574058.261504
2025,234825.515405,571621.028635
2026,237926.795159,569998.528288
2027,240338.901635,567787.728093
2028,242406.421471,565336.092606
2029,245163.114586,563691.322176
2030,246886.047783,561100.481722
2031,249987.327537,560011.737238
