year,Base case cost,Modeled residential ashp
2017,39710.9873798,285390.517801
2018,42862.5228444,284042.085718
2019,46082.0591308,282701.264779
2020,47654.3908055,280116.438532
2021,48702.611922,277196.796285
2022,49451.3412909,274122.489559
2023,50984.8759985,271947.51349
2024,52385.4413693,269752.070511
2025,52929.1245541,266767.926283
2026,53628.1457917,263991.256804
2027,54171.8289765,261165.9643
2028,54637.8431349,258353.762665
2029,55259.1953461,255743.516433
2030,55647.5404781,253015.703471
2031,57360.801479,251627.725188
