year,Base case cost,Modeled non-residential ashp
2017,40271.0242915,169435.689927
2018,42702.8931779,165843.895961
2019,45945.3850265,161608.241049
2020,47492.9379542,158830.35863
2021,48524.639906,156520.011656
2022,49335.2628681,154429.036331
2023,49924.8068406,152556.639167
2024,50366.96482,150840.207261
2025,50882.8157959,149093.470487
2026,51546.0527649,147253.852029
2027,52135.5967374,145506.143507
2028,52577.7547167,143911.477862
2029,53167.2986892,142221.815724
2030,53609.4566685,140683.836002
2031,54272.6936376,138987.693373
