year,Base case cost,Modeled non-residential energy efficiency
2017,386304.509402,391346.524488
2018,407750.801807,409645.780894
2019,436533.983719,434648.119691
2020,449514.634385,445301.927711
2021,458544.652239,452388.747865
2022,465317.16563,457448.258824
2023,469832.174557,460479.84091
2024,473782.807369,463023.202059
2025,478297.816296,466104.626819
2026,483941.577455,470236.975807
2027,488456.586383,473365.934324
2028,491842.843078,475490.951899
2029,496922.228121,479178.679881
2030,500308.484817,481347.966708
2031,505387.86986,485078.926356
