year,Base case cost,Modeled water and wastewater efficiency
2017,137059.220138,119544.828887
2018,152420.192447,131671.807192
2019,171719.802106,146981.677794
2020,185919.650252,158307.413713
2021,199330.417934,169043.090477
2022,212393.706309,179533.633518
2023,225181.422161,189830.640547
2024,237795.05851,200010.725856
2025,251286.721912,210917.044531
2026,265619.767121,222519.793042
2027,279872.304606,234076.423846
2028,294246.748923,245748.671228
2029,309726.596964,258337.371756
2030,324467.981988,270342.356802
2031,341100.902836,283901.488877
