year,Base case cost,Modeled non-residential energy efficiency
2017,12184915.7212,12362261.58
2018,12774682.6258,12873454.4241
2019,13585612.1197,13588150.0214
2020,13978790.0562,13920441.4042
2021,14249099.8875,14140723.7666
2022,14445688.8557,14294050.102
2023,14568556.9608,14380405.2537
2024,14691425.0659,14467377.1883
2025,14838866.7921,14577485.7091
2026,14986308.5183,14688182.4424
2027,15133750.2444,14799453.6007
2028,15256618.3496,14888751.4624
2029,15404060.0757,15001131.3978
2030,15502354.5598,15068977.7924
2031,15674369.907,15204949.3971
