year,Base case cost,Modeled residential energy efficiency
2017,769687.646758,781015.867795
2018,806403.254209,805281.603137
2019,866146.311481,849629.629176
2020,891401.165752,865321.69969
2021,918027.123403,884500.521381
2022,930047.403627,890174.18218
2023,949584.570262,904125.518437
2024,955662.531833,905376.435939
2025,975470.984308,919763.966506
2026,986226.104614,924840.054801
2027,1006356.70902,939707.006532
2028,1014123.71464,942623.917526
2029,1023444.12137,946830.655178
2030,1040823.9862,959844.570972
2031,1051816.48162,965528.755492
