year,Base case diesel consumed,Modeled solar power (pv)
2016,98464.6331211,96659.8640699
2017,98392.0725956,96601.7416968
2018,98319.51207,96543.5038185
2019,98246.9515445,96485.151359
2020,98101.8304935,96354.1247095
2021,98029.269968,96295.5458302
2022,97956.7094425,96236.8550978
2023,97884.148917,96178.0534071
2024,97811.5883914,96119.1416456
2025,97739.0278659,96060.1206941
2026,97666.4673404,96000.991426
2027,97666.4673404,96014.3152333
2028,97593.9068149,95954.9719246
2029,97521.3462894,95895.5228782
2030,97448.7857639,95835.96894
2031,97448.7857639,95848.8714746
2032,97448.7857639,95861.6707889
2033,97448.7857639,95874.3677087
2034,97448.7857639,95886.9630531
2035,97448.7857639,95899.4576348
