year,Base case cost,Modeled transmission and interties
2021,230349.00279,1085363.0963
2022,236677.272097,1078274.09081
2023,241107.060613,1069748.86902
2024,244904.022197,1060711.50206
2025,249333.810712,1052556.87574
2026,255209.194293,1046581.20975
2027,259653.135487,1039254.30084
2028,263462.227939,1031384.88676
2029,269396.244047,1025832.96542
2030,272580.596813,1017926.54541
2031,278312.431793,1012865.01798
2032,283407.39622,1007706.78427
2033,290057.133521,1003847.41892
2034,295807.164802,999784.772755
2035,299640.518989,993716.234034
2036,306029.442635,990234.183782
2037,310202.461118,985269.05627
2038,316611.602876,982251.5529
2039,321098.002107,977914.670513
2040,327507.143866,975798.357057
