year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,27188.3031434,20119.3443261
2018,27188.3031434,20119.3443261
2019,27188.3031434,20119.3443261
2020,27188.3031434,20119.3443261
2021,27188.3031434,20119.3443261
2022,27188.3031434,20119.3443261
2023,27188.3031434,20119.3443261
2024,27188.3031434,20119.3443261
2025,27188.3031434,20119.3443261
2026,27188.3031434,20119.3443261
2027,27188.3031434,20119.3443261
2028,27188.3031434,20119.3443261
2029,27188.3031434,20119.3443261
2030,27188.3031434,20119.3443261
2031,27188.3031434,20119.3443261
