year,Base case cost,Modeled residential ashp
2017,31810.6548138,657183.064564
2018,34837.6048475,656145.927349
2019,37828.5574464,655390.171247
2020,39713.4090634,653233.36112
2021,39744.4016421,649230.175539
2022,40757.6276331,646252.411349
2023,40078.9432286,641623.572811
2024,40666.5305455,638337.657512
2025,39920.0185485,633830.164398
2026,40676.3372675,630935.833039
2027,39855.2149189,626534.139316
2028,40402.1056804,623568.448149
2029,39513.1557394,619270.978934
2030,39951.9411425,616346.145596
2031,39167.2863908,612355.16604
