year,Base case diesel consumed,Modeled non-residential ashp
2017,6362.19967384,-5338.69555885
2018,6362.19967384,-5338.69555885
2019,6362.19967384,-5338.69555885
2020,6362.19967384,-5338.69555885
2021,6362.19967384,-5338.69555885
2022,6362.19967384,-5338.69555885
2023,6362.19967384,-5338.69555885
2024,6362.19967384,-5338.69555885
2025,6362.19967384,-5338.69555885
2026,6362.19967384,-5338.69555885
2027,6362.19967384,-5338.69555885
2028,6362.19967384,-5338.69555885
2029,6362.19967384,-5338.69555885
2030,6362.19967384,-5338.69555885
2031,6362.19967384,-5338.69555885
