year,Base case cost,Modeled non-residential ashp
2017,21422.156222,54474.9338925
2018,23036.9746341,52122.7165872
2019,25248.1629148,49098.4951142
2020,26279.2108216,47438.7752867
2021,26995.2746428,46151.380952
2022,27526.5478004,45086.7821255
2023,27891.9293397,44223.0547332
2024,28192.2141679,43444.3864837
2025,28553.3959194,42606.0805144
2026,28992.2737453,41688.6378825
2027,29363.9549663,40857.9459688
2028,29664.2397945,40118.5922785
2029,30075.8189997,39260.8984408
2030,30327.8062681,38595.2203577
2031,30770.8838818,37719.2865485
