year,Base case cost,Modeled water and wastewater efficiency
2017,41877.7587483,23832.396995
2018,44201.9423546,25150.7453016
2019,47482.3850987,27021.9441796
2020,48991.824966,27831.0085066
2021,50102.971876,28434.5971981
2022,50893.1198246,28851.9767313
2023,51442.9583521,29130.5849104
2024,51831.2519534,29309.8744789
2025,52377.7140596,29579.7018933
2026,53002.2002309,29892.8050778
2027,53545.1680183,30155.2170102
2028,54002.501551,30349.6009013
2029,54621.4198193,30652.1525257
2030,54922.4322776,30770.8339851
2031,55617.3206631,31114.041305
