year,Base case cost,Modeled diesel efficiency
2019,177302.54847,318684.98656
2020,186186.183466,323069.592179
2021,192478.758255,325185.206258
2022,196809.530316,325601.853356
2023,200132.768164,325185.070234
2024,202717.508712,324177.501722
2025,205671.49791,323584.301304
2026,209733.233057,324074.986031
2027,212687.222255,323633.671175
2028,215641.211453,323265.639581
2029,218429.083899,322818.158825
2030,220639.158947,321915.296065
2031,224690.963202,322754.983235
2032,228374.421615,323326.461419
2033,232426.225869,324297.888126
2034,236478.030124,325332.878182
2035,239056.451013,325090.502176
2036,243108.255268,326248.184292
2037,245686.676157,326125.624792
2038,249738.480411,327400.315223
