year,Base case diesel consumed,Modeled non-residential ashp
2017,7361.0650454,-8585.86930303
2018,7361.0650454,-8585.86930303
2019,7361.0650454,-8585.86930303
2020,7361.0650454,-8585.86930303
2021,7361.0650454,-8585.86930303
2022,7361.0650454,-8585.86930303
2023,7361.0650454,-8585.86930303
2024,7361.0650454,-8585.86930303
2025,7361.0650454,-8585.86930303
2026,7361.0650454,-8585.86930303
2027,7361.0650454,-8585.86930303
2028,7361.0650454,-8585.86930303
2029,7361.0650454,-8585.86930303
2030,7361.0650454,-8585.86930303
2031,7361.0650454,-8585.86930303
