year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,1700.23772575,1258.17591705
2018,1700.23772575,1258.17591705
2019,1700.23772575,1258.17591705
2020,1700.23772575,1258.17591705
2021,1700.23772575,1258.17591705
2022,1700.23772575,1258.17591705
2023,1700.23772575,1258.17591705
2024,1700.23772575,1258.17591705
2025,1700.23772575,1258.17591705
2026,1700.23772575,1258.17591705
2027,1700.23772575,1258.17591705
2028,1700.23772575,1258.17591705
2029,1700.23772575,1258.17591705
2030,1700.23772575,1258.17591705
2031,1700.23772575,1258.17591705
