year,Base case cost,Modeled solar power (pv)
2016,152694.62496,163161.396373
2017,187485.805331,197323.429989
2018,213410.058225,222726.418399
2019,250303.214333,258992.575143
2020,268665.226196,276938.568445
2021,280262.286319,288200.961248
2022,289926.503089,297558.428451
2023,296926.403433,304289.072185
2024,302001.113473,309120.998499
2025,308776.779481,315639.497386
2026,316770.652479,323372.152298
2027,323807.287459,330163.424785
2028,328914.140304,335050.223789
2029,337472.808322,343364.849028
2030,342874.303557,348556.872229
2031,351217.920896,356667.260698
2032,359304.395788,364525.853933
2033,368091.731555,373081.107806
2034,377174.475015,381937.040244
2035,383337.290211,387906.05025
