year,Base case cost,Modeled wind power
2019,324269.310068,491627.435092
2020,343532.833438,503723.218535
2021,357507.025315,511451.069544
2022,367147.6642,515530.304623
2023,374378.143364,517647.911283
2024,380001.84938,518487.958346
2025,386428.94197,520107.274329
2026,395266.194281,523876.38714
2027,402867.296532,526732.029226
2028,408496.180915,527936.055791
2029,415733.317979,530598.774393
2030,420944.973975,531669.639311
2031,429798.501152,535877.798373
2032,438652.028329,540164.660446
2033,446700.6894,543840.548556
2034,456778.53037,549386.606113
2035,462417.771486,551152.530699
2036,471279.436096,555744.323565
2037,476918.677212,557651.730471
2038,485780.341822,562381.689677
