year,Base case diesel consumed,Modeled residential ashp
2017,22102.9293287,-116188.680834
2018,22483.975055,-115807.635108
2019,22674.4979181,-115617.112245
2020,23055.5436444,-115236.066518
2021,23246.0665076,-115045.543655
2022,23627.1122338,-114664.497929
2023,24008.1579601,-114283.452203
2024,24198.6808233,-114092.92934
2025,24579.7265496,-113711.883613
2026,24960.7722758,-113330.837887
2027,25341.8180021,-112949.792161
2028,25722.8637284,-112568.746434
2029,25913.3865915,-112378.223571
2030,26294.4323178,-111997.177845
2031,26675.4780441,-111616.132119
