year,Base case cost,Modeled water and wastewater efficiency
2017,56064.9953692,43164.6772537
2018,58840.3467162,44980.7855537
2019,62559.5667201,47403.6352827
2020,64528.7421294,48692.0492252
2021,66218.8978055,49818.2813417
2022,67693.4657145,50801.3629681
2023,69100.2134759,51772.1516813
2024,70236.4209251,52540.4045974
2025,71499.7338254,53393.3696619
2026,73178.7404807,54545.6882163
2027,74495.1026125,55436.9818134
2028,75898.0878859,56402.2775784
2029,77239.5794497,57311.2627116
2030,78442.0656133,58136.8581182
2031,79947.8601,59156.6810959
