year,Base case cost,Modeled residential energy efficiency
2017,260344.548727,273455.23531
2018,278917.153836,286945.793992
2019,304918.80099,306400.687561
2020,317300.53773,315009.325057
2021,325967.753448,320681.506263
2022,332158.621818,324405.343288
2023,337111.316513,327168.964749
2024,340825.837535,328971.700225
2025,345159.445394,331296.117617
2026,350731.226927,334635.98519
2027,347654.869418,329603.083367
2028,351290.560402,331432.310645
2029,356744.096879,334730.151351
2030,359773.839365,336127.140038
2031,365227.375842,339472.862104
