year,Base case diesel consumed,Modeled transmission and interties
2021,39396.875083,19698.4375415
2022,39396.875083,19698.4375415
2023,39396.875083,19698.4375415
2024,39396.875083,19698.4375415
2025,39396.875083,19698.4375415
2026,39396.875083,19698.4375415
2027,39396.875083,19698.4375415
2028,39396.875083,19698.4375415
2029,39396.875083,19698.4375415
2030,39396.875083,19698.4375415
2031,39396.875083,19698.4375415
2032,39396.875083,19698.4375415
2033,39396.875083,19698.4375415
2034,39396.875083,19698.4375415
2035,39396.875083,19698.4375415
2036,39205.6281166,19602.8140583
2037,39396.875083,19698.4375415
2038,39396.875083,19698.4375415
2039,39396.875083,19698.4375415
2040,39396.875083,19698.4375415
