year,Base case cost,Modeled residential energy efficiency
2017,307241.446129,302452.44418
2018,326639.998276,318020.89197
2019,350661.497688,337162.198801
2020,367671.807487,351386.411841
2021,383134.315069,364583.934981
2022,397545.574725,377085.231596
2023,399893.977904,377878.130894
2024,413205.540174,389657.068938
2025,426652.760927,401594.008935
2026,440964.751847,414252.023783
2027,455076.91508,426814.276894
2028,468960.180953,439251.199142
2029,483372.730824,452154.969144
2030,496730.372733,464271.948836
2031,512249.940062,478156.445995
