year,Base case cost,Modeled water and wastewater efficiency
2017,49428.4026964,36752.1131503
2018,53030.2165109,39070.9516232
2019,57980.2694222,42296.4772909
2020,60236.1409435,43716.498768
2021,61771.9928292,44655.6873213
2022,62951.8759893,45357.8749335
2023,63772.6569334,45821.1713552
2024,64410.2356398,46163.8613307
2025,65229.2063031,46630.0521151
2026,66226.3701141,47217.8146921
2027,67042.8582603,47686.3278019
2028,67679.1918952,48035.8593327
2029,68578.2084967,48563.9904444
2030,69123.116727,48855.8689994
2031,70119.4581825,49452.0686708
