year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.69
2003,,1.38,1.71
2004,,1.46,
2005,,2.08,1.64
2006,,2.62,1.67
2008,,,1.74
2009,,3.02,1.89
2010,,3.83,1.65
2011,,4.43,1.64
2012,,3.96,1.69
2013,,4.28,1.74
2014,,,5.11
2016,start of forecast,2.15,2.15
2017,,2.57,2.57
2018,,2.87,2.87
2019,,3.29,3.29
2020,,3.48,3.48
2021,,3.62,3.62
2022,,3.72,3.72
2023,,3.79,3.79
2024,,3.85,3.85
2025,,3.92,3.92
2026,,4.0,4.0
2027,,4.07,4.07
2028,,4.13,4.13
2029,,4.21,4.21
2030,,4.26,4.26
2031,,4.34,4.34
2032,,4.43,4.43
2033,,4.52,4.52
2034,,4.61,4.61
2035,,4.67,4.67
2036,,4.76,4.76
2037,,4.82,4.82
2038,,4.91,4.91
2039,,4.98,4.98
2040,,5.08,5.08
