year,Base case cost,Modeled non-residential energy efficiency
2017,431668.935734,405056.125752
2018,443813.779228,415938.834163
2019,460469.564592,431362.065682
2020,468797.457274,438486.292512
2021,474349.385728,442862.766014
2022,478513.332069,445878.807128
2023,481636.291825,447880.76574
2024,484065.260524,449215.006698
2025,486841.224751,450921.900873
2026,490658.175563,453694.838003
2027,493781.135319,455798.253135
2028,496210.104018,457231.572732
2029,499680.059302,459729.214512
2030,501415.036944,460514.667193
2031,505231.987757,463404.347581
