year,Base case cost,Modeled solar power (pv)
2016,250274.861611,266365.624247
2017,299110.105351,314050.569621
2018,336674.533526,350668.067054
2019,386054.059955,398939.440079
2020,409693.179127,421888.287956
2021,428213.661649,439811.72014
2022,441561.971518,452654.026347
2023,451011.075898,461666.675803
2024,459439.278459,469687.924381
2025,468995.454843,478827.856752
2026,481553.365125,490941.572651
2027,491501.395302,500493.138533
2028,501511.884149,510116.578064
2029,512941.820608,521150.223552
2030,520358.044017,528234.359292
2031,533575.488104,541055.31481
2032,546592.172182,553684.70393
2033,558313.582431,565045.681682
2034,573183.207029,579527.947025
2035,582598.107851,588634.713112
