year,Base case diesel consumed,Modeled non-residential ashp
2017,24014.2596033,-28190.6525778
2018,24014.2596033,-28190.6525778
2019,24014.2596033,-28190.6525778
2020,24014.2596033,-28190.6525778
2021,24014.2596033,-28190.6525778
2022,24014.2596033,-28190.6525778
2023,24014.2596033,-28190.6525778
2024,24014.2596033,-28190.6525778
2025,24014.2596033,-28190.6525778
2026,24014.2596033,-28190.6525778
2027,24014.2596033,-28190.6525778
2028,24014.2596033,-28190.6525778
2029,24014.2596033,-28190.6525778
2030,24014.2596033,-28190.6525778
2031,24014.2596033,-28190.6525778
