year,Base case cost,Modeled diesel efficiency
2019,172331.842839,342122.797257
2020,184678.011012,348999.926703
2021,192296.892358,351681.397435
2022,199394.325057,353988.311096
2023,203999.768418,354126.935519
2024,208574.913195,354332.893889
2025,213802.639663,355224.762992
2026,219976.595047,357067.323386
2027,224559.099035,357551.472074
2028,229472.655857,358422.869031
2029,235792.442934,360656.92628
2030,239408.363024,360515.216277
2031,246531.850889,363642.569493
2032,252753.344513,366028.409442
2033,259026.708435,368538.046209
2034,265354.267962,371171.797646
2035,270601.028452,372896.095978
2036,277744.75209,376416.284871
2037,282373.2585,377719.618151
2038,289628.311981,381478.793457
