year,Base case cost,Modeled residential energy efficiency
2017,594762.838461,569238.386122
2018,627418.408156,596660.299832
2019,671503.427245,634100.945126
2020,691913.158305,650869.051143
2021,705791.775426,661952.470733
2022,716404.835577,670205.557567
2023,723752.338758,675627.734859
2024,729467.063455,679645.911356
2025,736814.566637,685114.481338
2026,744978.459061,691319.171536
2027,752325.962242,696831.985108
2028,758040.686939,700938.673603
2029,766204.579363,707207.417223
2030,771102.914817,710641.574681
2031,779266.807241,716950.557581
