year,Base case cost,Modeled non-residential ashp
2017,28068.4054979,85175.4407925
2018,30088.6927697,84514.2224922
2019,32811.6886576,83961.174745
2020,34129.2673131,83255.3285182
2021,35007.6530834,82515.576686
2022,35710.3616997,81774.0006994
2023,36149.5545848,81019.2817581
2024,36500.908893,80272.6704537
2025,36940.1017781,79555.4281767
2026,37554.9718173,78877.9738442
2027,37994.1647025,78196.4721577
2028,38345.5190106,77521.3620835
2029,38872.5504728,76884.7981374
2030,39223.9047809,76242.9740756
2031,39750.9362431,75638.9159825
