year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,22043.7305643,16312.3606176
2018,22043.7305643,16312.3606176
2019,22043.7305643,16312.3606176
2020,22043.7305643,16312.3606176
2021,22043.7305643,16312.3606176
2022,22043.7305643,16312.3606176
2023,22043.7305643,16312.3606176
2024,22043.7305643,16312.3606176
2025,22043.7305643,16312.3606176
2026,22043.7305643,16312.3606176
2027,22043.7305643,16312.3606176
2028,22043.7305643,16312.3606176
2029,22043.7305643,16312.3606176
2030,22043.7305643,16312.3606176
2031,22043.7305643,16312.3606176
