year,Base case diesel consumed,Modeled non-residential ashp
2017,7547.54321378,-6321.50572634
2018,7547.54321378,-6321.50572634
2019,7547.54321378,-6321.50572634
2020,7547.54321378,-6321.50572634
2021,7547.54321378,-6321.50572634
2022,7547.54321378,-6321.50572634
2023,7547.54321378,-6321.50572634
2024,7547.54321378,-6321.50572634
2025,7547.54321378,-6321.50572634
2026,7547.54321378,-6321.50572634
2027,7547.54321378,-6321.50572634
2028,7547.54321378,-6321.50572634
2029,7547.54321378,-6321.50572634
2030,7547.54321378,-6321.50572634
2031,7547.54321378,-6321.50572634
