year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,20582.98,123542.66,192809.53,32563.48,143846.42,106564.51
2018,22694.66,136204.46,207850.04,34420.75,152035.8,112631.38
2019,25624.13,153790.3,228739.62,36994.76,163409.94,121057.59
2020,27090.9,162583.22,239184.42,38284.81,169097.01,125270.69
2021,28030.6,168210.69,245869.09,39111.77,172736.73,127967.08
2022,28792.34,172783.01,251300.38,39781.11,175694.01,130157.89
2023,29317.91,175948.46,255060.51,40241.93,177741.35,131674.61
2024,29726.73,178410.48,257985.05,40600.43,179333.73,132854.27
2025,30252.36,181575.93,261745.17,41061.41,181381.08,134370.99
2026,30835.97,185093.1,265923.09,41573.04,183655.91,136056.23
2027,31359.93,188258.55,269683.22,42031.75,185703.25,137572.95
2028,31826.25,191072.29,263873.79,42440.33,187523.11,134835.23
2029,32403.36,194589.45,267911.67,42943.12,189797.94,136470.9
2030,32745.64,196699.75,270334.39,43239.37,191162.84,137452.31
2031,33382.78,200568.64,274776.06,43795.91,193665.15,139251.55
