year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,17190.41,113087.5,249470.59,29360.95,64235.77,215230.48
2018,18772.42,123554.29,262843.03,30670.58,67134.6,221683.34
2019,20932.0,137858.91,286742.45,32458.22,71096.33,234765.26
2020,21976.95,144836.77,293396.13,33317.55,73028.88,237600.41
2021,22703.79,149721.27,296278.59,33912.48,74381.66,238389.75
2022,23216.97,153210.2,301912.2,34328.59,75347.94,241486.62
2023,23624.04,156001.34,301101.66,34656.52,76120.96,240267.68
2024,23924.01,158094.7,299047.08,34894.62,76700.73,238373.07
2025,24276.21,160536.95,297409.23,35176.14,77377.12,236717.76
2026,24732.79,163676.99,302215.51,35544.19,78246.77,239378.25
2027,25084.3,166119.24,300352.8,35825.38,78923.16,237615.03
2028,25383.18,168212.6,297838.74,36063.1,79502.92,235499.88
2029,25832.57,171352.64,296721.48,36421.71,80372.57,234173.03
2030,26073.52,173097.1,293448.54,36608.44,80855.71,231654.35
2031,26527.85,176237.14,292018.44,36975.13,81725.36,230177.34
