year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,723936.62,10917.15,652673.54,666299.29
2018,723794.91,10909.08,652673.54,663289.19
2019,723653.21,10903.41,652673.54,660279.08
2020,723582.35,10896.44,652673.54,657268.98
2021,723440.64,10888.5,652673.54,652753.83
2022,723369.79,10880.87,652673.54,649743.72
2023,723228.08,10872.58,652673.54,645228.57
2024,723086.37,10865.1,652673.54,642218.47
2025,722944.66,10857.78,652673.54,639208.37
2026,722873.81,10850.93,652673.54,634693.21
2027,722732.1,10843.71,652673.54,631683.11
2028,722661.24,10836.37,652673.54,628673.01
2029,722661.24,10835.7,652673.54,628673.01
2030,722590.39,10833.72,652673.54,627167.95
2031,722519.53,10829.96,652673.54,625662.9
