year,Base case diesel consumed,Modeled non-residential ashp
2017,35447.2858442,-41612.0311314
2018,35447.2858442,-41612.0311314
2019,35447.2858442,-41612.0311314
2020,35447.2858442,-41612.0311314
2021,35447.2858442,-41612.0311314
2022,35447.2858442,-41612.0311314
2023,35447.2858442,-41612.0311314
2024,35447.2858442,-41612.0311314
2025,35447.2858442,-41612.0311314
2026,35447.2858442,-41612.0311314
2027,35447.2858442,-41612.0311314
2028,35447.2858442,-41612.0311314
2029,35447.2858442,-41612.0311314
2030,35447.2858442,-41612.0311314
2031,35447.2858442,-41612.0311314
