year,Base case diesel consumed,Modeled residential energy efficiency
2017,65765.5464017,45690.1446894
2018,67927.5722684,47852.1705561
2019,70089.5981351,50014.1964228
2020,72251.6240018,52176.2222895
2021,74413.6498685,54338.2481562
2022,75494.6628018,55419.2610895
2023,77656.6886685,57581.2869562
2024,78737.7016019,58662.2998895
2025,80899.7274686,60824.3257562
2026,83061.7533352,62986.3516229
2027,85223.7792019,65148.3774896
2028,87385.8050686,67310.4033563
2029,90628.8438687,70553.4421564
2030,92790.8697354,72715.468023
2031,94952.8956021,74877.4938897
