year,Base case cost,Modeled non-residential energy efficiency
2017,388073.477283,382829.188009
2018,410102.039061,400976.057093
2019,439947.187276,425997.80496
2020,453448.56385,436727.607594
2021,463396.946588,444370.477887
2022,470502.934258,449548.347552
2023,475477.125628,452883.162472
2024,479740.71823,455619.417225
2025,484714.909599,459001.620044
2026,491110.298502,463651.757262
2027,496084.489872,467079.152779
2028,500348.082474,469905.818277
2029,506032.87261,473998.847941
2030,508875.267678,475622.532327
2031,515270.656582,480379.19952
