year,Base case diesel consumed,Modeled residential ashp
2017,1258.70369426,-2746.48722219
2018,1258.70369426,-2746.48722219
2019,1258.70369426,-2746.48722219
2020,1258.70369426,-2746.48722219
2021,1258.70369426,-2746.48722219
2022,1258.70369426,-2746.48722219
2023,1530.56793117,-2474.62298528
2024,1530.56793117,-2474.62298528
2025,1530.56793117,-2474.62298528
2026,1530.56793117,-2474.62298528
2027,1530.56793117,-2474.62298528
2028,1530.56793117,-2474.62298528
2029,1530.56793117,-2474.62298528
2030,1530.56793117,-2474.62298528
2031,1530.56793117,-2474.62298528
