year,Base case diesel consumed,Modeled non-residential ashp
2017,89675.2140712,-105270.903475
2018,89675.2140712,-105270.903475
2019,89675.2140712,-105270.903475
2020,89675.2140712,-105270.903475
2021,89675.2140712,-105270.903475
2022,89675.2140712,-105270.903475
2023,89675.2140712,-105270.903475
2024,89675.2140712,-105270.903475
2025,89675.2140712,-105270.903475
2026,89675.2140712,-105270.903475
2027,89675.2140712,-105270.903475
2028,89675.2140712,-105270.903475
2029,89675.2140712,-105270.903475
2030,89675.2140712,-105270.903475
2031,89675.2140712,-105270.903475
