year,Base case diesel consumed,Modeled solar power (pv)
2016,92469.5114755,91827.1248342
2017,92397.0230391,91759.7754909
2018,92324.5346027,91692.3850349
2019,92252.0461663,91624.953795
2020,92179.5577298,91557.4820976
2021,92179.5577298,91562.4587026
2022,92179.5577298,91567.3954948
2023,92179.5577298,91572.2927927
2024,92179.5577298,91577.1509122
2025,92179.5577298,91581.9701668
2026,92179.5577298,91586.7508673
2027,92107.0692934,91519.0048857
2028,92034.580857,91451.2209646
2029,92034.580857,91455.8878437
2030,92034.580857,91460.5173878
2031,92034.580857,91465.1098956
2032,91962.0924206,91397.1772269
2033,91962.0924206,91401.6965484
2034,91889.6039842,91333.691279
2035,91817.1155477,91265.6501442
