year,Base case cost,Modeled water and wastewater efficiency
2017,74124.1339875,58116.6240479
2018,79423.5349987,61680.9641793
2019,86580.5146184,66494.1511236
2020,89881.9294188,68716.9817622
2021,92122.3923015,70226.4545098
2022,93830.8115544,71378.5301625
2023,95012.0918211,72175.4521322
2024,95927.1647761,72793.5885295
2025,97106.2035165,73589.49315
2026,98414.0398406,74472.8277516
2027,99588.5743304,75266.6827909
2028,100494.64146,75880.7179686
2029,101798.094164,76762.0682572
2030,102574.11117,77288.1146112
2031,103880.011583,78170.596874
