year,Base case diesel consumed,Modeled non-residential ashp
2017,123909.880581,95021.7147698
2018,126591.389914,97703.2241031
2019,129272.899247,100384.733436
2020,131954.408581,103066.24277
2021,134635.917914,105747.752103
2022,137317.427247,108429.261436
2023,138658.181914,109770.016103
2024,141339.691247,112451.525436
2025,144021.200581,115133.03477
2026,146702.709914,117814.544103
2027,149384.219247,120496.053436
2028,152065.728581,123177.56277
2029,154747.237914,125859.072103
2030,158769.501914,129881.336103
2031,161451.011247,132562.845436
