year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation wind [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation biomass [kWh/year],generation solar [kWh/year],generation wind [kWh/year],generation natural gas [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,0,0,8285.05,448436.0,0.0,0.0,0.0,0.0,0.0,448436.0
2004,,0,0,8285.05,444285.0,0.0,0.0,0.0,0.0,0.0,444285.0
2005,,0,0,8285.05,413583.0,0.0,0.0,0.0,0.0,0.0,413583.0
2006,,0,0,8285.05,454712.0,0.0,0.0,0.0,0.0,0.0,454712.0
2007,,0,0,8285.05,424594.0,0.0,0.0,0.0,0.0,0.0,424594.0
2008,,0,0,8285.05,431692.0,0.0,0.0,0.0,0.0,0.0,431692.0
2009,,0,0,8285.05,493522.0,0.0,0.0,0.0,0.0,0.0,493522.0
2010,,0,0,8285.05,537859.0,0.0,0.0,0.0,0.0,0.0,537859.0
2011,,0,0,8285.05,559928.0,0.0,0.0,0.0,0.0,0.0,559928.0
2012,,0,0,8285.05,571618.0,0.0,0.0,0.0,0.0,0.0,571618.0
2013,,0,0,8285.05,504399.0,0.0,0.0,0.0,0.0,0.0,504399.0
2014,start of forecast,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2015,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2016,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2017,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2018,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2019,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2020,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2021,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2022,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2023,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2024,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2025,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2026,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2027,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2028,,0,0,8285.05,531000.0,0.0,0.0,0.0,0.0,0.0,531000.0
2029,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2030,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2031,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2032,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2033,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2034,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2035,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2036,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2037,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2038,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2039,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
2040,,0,0,8285.05,532000.0,0.0,0.0,0.0,0.0,0.0,532000.0
