year,Base case cost,Modeled non-residential ashp
2017,201999.94873,254664.425766
2018,221800.355959,274454.626088
2019,249904.159767,302543.942673
2020,262678.616044,315311.813848
2021,272259.458251,324887.717229
2022,279285.409203,331910.046375
2023,283756.4689,336378.801287
2024,288227.528597,340847.556198
2025,292698.588294,345316.311109
2026,298447.093618,351061.853138
2027,303556.876129,356169.001608
2028,298638.497994,351248.318688
2029,303592.521953,356199.708606
2030,307308.039922,359913.251045
2031,312881.316876,365483.564703
