year,Base case diesel consumed,Modeled non-residential ashp
2017,120265.827798,112088.70349
2018,120265.827798,112088.70349
2019,118761.253793,110584.129485
2020,117256.679788,109079.55548
2021,117256.679788,109079.55548
2022,115752.105783,107574.981475
2023,114247.531778,106070.40747
2024,111238.383768,103061.25946
2025,109733.809763,101556.685455
2026,108229.235758,100052.11145
2027,106724.661753,98547.5374445
2028,105220.087747,97042.9634395
2029,100706.365732,92529.2414242
2030,97697.217722,89520.093414
2031,94688.0697119,86510.9454039
