year,Base case diesel consumed,Cold bay wind energy project,Modeled wind power
2019,211576.797513,188738.315304,137945.088478
2020,211576.797513,188738.315304,137945.088478
2021,211651.191605,188812.709396,138019.48257
2022,211725.585697,188887.103488,138093.876662
2023,211799.979789,188961.49758,138168.270754
2024,211874.373881,189035.891672,138242.664846
2025,211948.767973,189110.285763,138317.058938
2026,212023.162065,189184.679855,138391.45303
2027,212097.556157,189259.073947,138465.847122
2028,212246.344341,189407.862131,138614.635306
2029,212320.738433,189482.256223,138689.029397
2030,212395.132525,189556.650315,138763.423489
2031,212543.920709,189705.438499,138912.211673
2032,212618.314801,189779.832591,138986.605765
2033,212767.102984,189928.620775,139135.393949
2034,212915.891168,190077.408959,139284.182133
2035,213064.679352,190226.197143,139432.970317
2036,213213.467536,190374.985327,139581.758501
2037,213362.25572,190523.773511,139730.546685
2038,213511.043904,190672.561694,139879.334869
