year,Base case cost,Modeled non-residential energy efficiency
2017,89826.7414566,105294.431132
2018,96405.7606224,111777.604329
2019,105531.496885,120770.392956
2020,109988.251803,125162.219961
2021,112959.421749,128090.10463
2022,115293.912421,130390.585442
2023,116991.723819,132063.662396
2024,118265.082367,133318.470111
2025,119962.893765,134991.547065
2026,121872.931587,136873.758639
2027,123570.742984,138546.835593
2028,124844.101533,139801.643308
2029,126754.139355,141683.854881
2030,127815.271479,142729.527978
2031,129937.535726,144820.87417
