year,Base case diesel consumed,Modeled diesel efficiency
2019,52348.9106964,47589.9188149
2020,52260.6326008,47509.6660007
2021,52172.3545052,47429.4131866
2022,52084.0764096,47349.1603724
2023,51995.798314,47268.9075582
2024,51819.2421228,47108.4019298
2025,51730.9640272,47028.1491156
2026,51642.6859316,46947.8963014
2027,51554.4078359,46867.6434872
2028,51466.1297403,46787.390673
2029,51466.1297403,46787.390673
2030,51377.8516447,46707.1378588
2031,51289.5735491,46626.8850447
2032,51201.2954535,46546.6322305
2033,51113.0173579,46466.3794163
2034,51024.7392623,46386.1266021
2035,50936.4611667,46305.8737879
2036,50848.1830711,46225.6209737
2037,50848.1830711,46225.6209737
2038,50759.9049755,46145.3681595
