year,Base case diesel consumed,Modeled non-residential ashp
2017,12514.8194856,11457.6003436
2018,12514.8194856,11457.6003436
2019,10544.7887834,9487.56964137
2020,10544.7887834,9487.56964137
2021,10544.7887834,9487.56964137
2022,10544.7887834,9487.56964137
2023,10544.7887834,9487.56964137
2024,10544.7887834,9487.56964137
2025,10544.7887834,9487.56964137
2026,10544.7887834,9487.56964137
2027,10544.7887834,9487.56964137
2028,8574.75808117,7517.53893915
2029,8574.75808117,7517.53893915
2030,8574.75808117,7517.53893915
2031,8574.75808117,7517.53893915
